rph_ID,idhogar,enc_region,enc_rpc,P_AUMENTO_COM,P_INSEG_LUGARES_14,SCREEN_INT_RDV,SCREEN_INT_RFV,SCREEN_INT_RVI,SCREEN_ROB_HUR
00-74-37-21_2,00-74-37-21-H1,5,5601,1.0,3.0,,2.0,2.0,2.0
00-74-49-67_2,00-74-49-67-H1,13,13605,1.0,85.0,,2.0,2.0,2.0
00-74-71-10_3,00-74-71-10-H1,11,11201,2.0,4.0,,2.0,2.0,2.0
00-74-85-31_2,00-74-85-31-H1,13,13104,1.0,4.0,2.0,2.0,2.0,2.0
00-74-89-03_1,00-74-89-03-H1,10,10101,1.0,85.0,,2.0,2.0,2.0
00-74-94-97_3,00-74-94-97-H1,9,9112,2.0,3.0,,2.0,2.0,2.0
00-74-96-13_3,00-74-96-13-H1,13,13604,1.0,85.0,2.0,2.0,2.0,2.0
00-74-96-26_2,00-74-96-26-H1,2,2301,1.0,85.0,,2.0,2.0,1.0
00-75-20-43_1,00-75-20-43-H1,5,5401,1.0,3.0,,2.0,2.0,2.0
00-75-24-55_1,00-75-24-55-H1,7,7201,1.0,2.0,,2.0,2.0,2.0
00-75-47-06_2,00-75-47-06-H1,13,13102,1.0,85.0,2.0,1.0,2.0,2.0
00-75-54-93_1,00-75-54-93-H1,5,5301,1.0,3.0,,2.0,2.0,2.0
00-75-76-80_2,00-75-76-80-H1,2,2201,1.0,3.0,2.0,2.0,2.0,2.0
00-76-14-79_3,00-76-14-79-H1,9,9211,1.0,85.0,,2.0,2.0,2.0
00-76-34-77_2,00-76-34-77-H1,16,16102,1.0,3.0,2.0,2.0,2.0,2.0
00-76-56-77_1,00-76-56-77-H1,8,8108,1.0,3.0,,2.0,2.0,2.0
00-76-66-43_1,00-76-66-43-H1,13,13121,1.0,2.0,2.0,2.0,2.0,2.0
00-76-83-40_2,00-76-83-40-H1,13,13119,1.0,85.0,,2.0,2.0,2.0
00-77-00-04_2,00-77-00-04-H1,16,16103,1.0,3.0,2.0,2.0,1.0,2.0
00-77-08-71_2,00-77-08-71-H1,13,13116,1.0,85.0,2.0,2.0,2.0,2.0
00-77-11-81_1,00-77-11-81-H1,13,13111,1.0,3.0,,2.0,2.0,2.0
00-77-26-17_1,00-77-26-17-H1,4,4101,1.0,1.0,,2.0,2.0,2.0
00-77-58-75_1,00-77-58-75-H1,4,4101,1.0,4.0,2.0,2.0,2.0,2.0
00-78-24-73_1,00-78-24-73-H1,5,5701,1.0,85.0,2.0,2.0,2.0,2.0
00-78-65-82_1,00-78-65-82-H1,14,14108,1.0,2.0,,2.0,2.0,2.0
00-79-33-53_1,00-79-33-53-H1,7,7101,1.0,85.0,2.0,2.0,2.0,2.0
00-79-39-74_1,00-79-39-74-H1,8,8107,1.0,3.0,,1.0,2.0,2.0
00-79-61-13_4,00-79-61-13-H1,5,5109,1.0,85.0,,2.0,2.0,2.0
00-79-63-63_1,00-79-63-63-H1,4,4201,1.0,85.0,,2.0,2.0,2.0
00-80-16-66_2,00-80-16-66-H1,8,8101,1.0,85.0,,2.0,2.0,2.0
00-81-03-10_1,00-81-03-10-H1,12,12401,1.0,85.0,2.0,2.0,2.0,2.0
00-81-13-54_2,00-81-13-54-H1,8,8101,1.0,3.0,,2.0,2.0,2.0
00-81-20-56_1,00-81-20-56-H1,5,5501,1.0,1.0,2.0,2.0,2.0,2.0
00-81-96-92_2,00-81-96-92-H1,8,8112,1.0,85.0,,2.0,2.0,2.0
00-81-97-42_1,00-81-97-42-H1,5,5109,1.0,85.0,2.0,2.0,2.0,2.0
00-82-22-20_1,00-82-22-20-H1,10,10301,1.0,3.0,,2.0,2.0,2.0
00-82-30-83_1,00-82-30-83-H1,2,2201,1.0,2.0,,2.0,2.0,2.0
00-82-30-84_1,00-82-30-84-H1,14,14101,1.0,85.0,,2.0,2.0,2.0
00-82-49-86_3,00-82-49-86-H1,12,12101,1.0,85.0,,2.0,2.0,2.0
00-82-72-09_1,00-82-72-09-H1,13,13126,88.0,85.0,2.0,2.0,2.0,2.0
00-83-24-00_1,00-83-24-00-H1,10,10201,1.0,3.0,2.0,2.0,2.0,2.0
00-83-32-27_2,00-83-32-27-H1,16,16102,1.0,85.0,,2.0,2.0,2.0
00-83-45-19_1,00-83-45-19-H1,7,7101,1.0,3.0,,2.0,2.0,2.0
00-83-62-50_3,00-83-62-50-H1,5,5701,2.0,3.0,2.0,2.0,2.0,2.0
00-83-63-20_1,00-83-63-20-H1,5,5109,1.0,3.0,2.0,2.0,2.0,2.0
00-83-77-94_1,00-83-77-94-H1,16,16201,1.0,85.0,,2.0,2.0,2.0
00-84-01-21_1,00-84-01-21-H1,5,5301,1.0,3.0,2.0,2.0,2.0,2.0
00-84-09-97_3,00-84-09-97-H1,11,11101,1.0,3.0,1.0,2.0,1.0,2.0
00-84-15-74_4,00-84-15-74-H1,13,13201,1.0,3.0,2.0,2.0,2.0,2.0
